"filename", "language", "C++", "C", "Markdown", "Makefile", "Shell Script", "Python", "YAML", "reStructuredText", "pip requirements", "Diff", "Docker", "comment", "blank", "total"
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/actions/build-selftests/helpers.sh", "Shell Script", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 4, 37
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/actions/build-selftests/prepare_selftests-4.9.0.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/actions/build-selftests/prepare_selftests-5.5.0.sh", "Shell Script", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/actions/build-selftests/vmlinux.h", "C++", 82943, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10904, 93847
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/actions/debian/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/actions/setup/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 2, 24
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/actions/vmtest/action.yml", "YAML", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 7, 1, 90
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/workflows/build.yml", "YAML", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 6, 82
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/workflows/cifuzz.yml", "YAML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 1, 41
"/home/zsofi/Dokumentumok/Aitia/aitia/ÉZsófi/user-data-monitoring/src/.output/libbpf/.github/workflows/coverity.yml", "YAML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
